iter	RMSE
0	21001.77482
1	19212.69189
2	18085.84247
3	17233.93336
4	16537.89126
5	15935.30055
6	15443.69889
7	15020.98261
8	14685.84776
9	14346.72561
10	13992.45142
11	13684.25264
12	13446.60371
13	13209.11342
14	13081.37122
15	12872.00299
16	12674.3967
17	12552.75936
18	12389.884
19	12218.02718
20	12071.69057
21	11934.82038
22	11828.46154
23	11678.55924
24	11563.30408
25	11440.00684
26	11313.00247
27	11199.78597
28	11088.78725
29	11031.97136
30	10930.86241
31	10811.05819
32	10712.62979
33	10618.20405
34	10516.60929
35	10430.16201
36	10405.90468
37	10327.58446
38	10259.12825
39	10180.81708
40	10102.38087
41	10032.18549
42	10013.74387
43	9942.506514
44	9880.427899
45	9836.808369
46	9767.768379
47	9695.051007
48	9620.880518
49	9554.639485
50	9494.894903
51	9432.178416
52	9416.43955
53	9360.150363
54	9309.758741
55	9261.316027
56	9194.31846
57	9135.328922
58	9099.479582
59	9051.126039
60	9025.974664
61	8944.265575
62	8898.710141
63	8850.963046
64	8809.879419
65	8796.863958
66	8756.035128
67	8715.363806
68	8677.172329
69	8647.953823
70	8608.7823
71	8565.927869
72	8528.906551
73	8490.99417
74	8479.485947
75	8444.34889
76	8418.384668
77	8378.390277
78	8343.376895
79	8309.869734
80	8289.446761
81	8257.035485
82	8224.573334
83	8178.108001
84	8146.845743
85	8136.452292
86	8099.63205
87	8068.687661
88	8039.84184
89	8012.540308
90	7983.681035
91	7940.968574
92	7896.769582
93	7863.935492
94	7844.907973
95	7816.51358
96	7791.893203
97	7782.203851
98	7756.360458
99	7727.052948
