iter	Passed	Remaining
0	76	7592
1	153	7520
2	235	7617
3	319	7665
4	392	7466
5	477	7482
6	551	7330
7	628	7231
8	705	7128
9	781	7033
10	863	6988
11	956	7016
12	1042	6974
13	1124	6907
14	1207	6843
15	1282	6735
16	1359	6638
17	1438	6553
18	1517	6470
19	1615	6463
20	1718	6463
21	1794	6362
22	1879	6291
23	1959	6205
24	2046	6140
25	2132	6069
26	2217	5994
27	2305	5929
28	2395	5865
29	2475	5777
30	2552	5682
31	2632	5594
32	2721	5526
33	2802	5440
34	2884	5356
35	2966	5272
36	3054	5200
37	3137	5118
38	3214	5027
39	3290	4935
40	3374	4856
41	3477	4801
42	3552	4709
43	3633	4624
44	3726	4554
45	3813	4477
46	3891	4388
47	3983	4315
48	4070	4236
49	4150	4150
50	4228	4062
51	4304	3973
52	4388	3891
53	4479	3815
54	4558	3729
55	4637	3643
56	4722	3562
57	4799	3475
58	4873	3386
59	4946	3297
60	5027	3214
61	5117	3136
62	5203	3055
63	5278	2969
64	5353	2882
65	5437	2801
66	5519	2718
67	5598	2634
68	5675	2549
69	5760	2468
70	5853	2390
71	5937	2309
72	6018	2226
73	6095	2141
74	6178	2059
75	6258	1976
76	6331	1891
77	6405	1806
78	6522	1733
79	6617	1654
80	6711	1574
81	6794	1491
82	6874	1408
83	6957	1325
84	7043	1242
85	7132	1161
86	7214	1078
87	7301	995
88	7394	913
89	7472	830
90	7550	746
91	7628	663
92	7714	580
93	7785	496
94	7862	413
95	7940	330
96	8028	248
97	8108	165
98	8185	82
99	8263	0
